iter	Passed	Remaining
0	162	162313
1	164	82152
2	166	55445
3	170	42427
4	172	34288
5	174	28835
6	175	24944
7	177	22018
8	183	20226
9	185	18404
10	187	16894
11	190	15697
12	192	14638
13	195	13772
14	197	12985
15	199	12258
16	201	11623
17	203	11084
18	204	10582
19	208	10230
20	211	9838
21	212	9466
22	214	9127
23	216	8815
24	219	8555
25	223	8373
26	225	8130
27	227	7901
28	229	7682
29	231	7481
30	233	7304
31	236	7159
32	238	7001
33	241	6855
34	243	6707
35	245	6570
36	247	6439
37	249	6326
38	251	6205
39	253	6088
40	255	5977
41	257	5883
42	259	5782
43	262	5699
44	264	5613
45	266	5524
46	268	5439
47	270	5362
48	272	5284
49	273	5203
50	276	5139
51	277	5067
52	279	4996
53	281	4926
54	282	4858
55	284	4794
56	285	4730
57	287	4667
58	288	4609
59	292	4581
60	294	4527
61	295	4474
62	297	4425
63	299	4376
64	300	4328
65	302	4282
66	304	4240
67	306	4196
68	308	4156
69	309	4117
70	311	4075
71	313	4034
72	314	3997
73	316	3959
74	319	3935
75	320	3901
76	322	3865
77	324	3835
78	326	3808
79	328	3778
80	330	3746
81	332	3725
82	333	3688
83	335	3659
84	340	3661
85	341	3633
86	343	3606
87	346	3587
88	348	3563
89	350	3541
90	352	3517
91	354	3497
92	356	3473
93	357	3448
94	360	3433
95	365	3437
96	367	3418
97	368	3396
98	370	3375
99	372	3354
100	375	3340
101	377	3324
102	379	3304
103	381	3282
104	383	3264
105	384	3245
106	386	3227
107	389	3217
108	391	3199
109	393	3181
110	394	3162
111	396	3142
112	397	3123
113	399	3106
114	401	3088
115	403	3078
116	405	3059
117	407	3044
118	409	3030
119	411	3015
120	413	3001
121	414	2984
122	418	2981
123	420	2969
124	422	2955
125	424	2941
126	425	2926
127	427	2912
128	433	2925
129	435	2914
130	437	2902
131	439	2890
132	441	2879
133	444	2871
134	447	2864
135	449	2853
136	451	2841
137	452	2827
138	454	2815
139	456	2802
140	458	2793
141	460	2780
142	462	2770
143	464	2760
144	466	2748
145	467	2736
146	470	2728
147	472	2719
148	474	2711
149	477	2703
150	479	2693
151	480	2683
152	482	2672
153	485	2666
154	487	2657
155	489	2649
156	491	2639
157	493	2629
158	495	2619
159	497	2610
160	498	2597
161	500	2587
162	502	2581
163	505	2576
164	507	2569
165	511	2568
166	513	2562
167	515	2553
168	518	2548
169	520	2539
170	527	2554
171	536	2580
172	539	2578
173	541	2572
174	543	2564
175	546	2558
176	548	2550
177	550	2542
178	552	2535
179	555	2530
180	557	2522
181	559	2516
182	562	2509
183	564	2503
184	566	2497
185	569	2490
186	571	2483
187	574	2480
188	576	2474
189	578	2467
190	580	2459
191	582	2452
192	584	2444
193	586	2436
194	589	2432
195	592	2428
196	594	2421
197	595	2414
198	598	2407
199	599	2399
200	602	2396
201	605	2393
202	607	2386
203	609	2378
204	611	2371
205	613	2364
206	615	2357
207	618	2355
208	620	2350
209	623	2343
210	625	2337
211	627	2330
212	629	2324
213	631	2319
214	633	2313
215	635	2306
216	637	2300
217	639	2293
218	641	2286
219	644	2283
220	646	2279
221	648	2273
222	650	2267
223	652	2261
224	654	2254
225	656	2249
226	659	2246
227	661	2240
228	663	2234
229	665	2228
230	667	2221
231	669	2216
232	671	2210
233	676	2215
234	678	2209
235	680	2203
236	683	2199
237	685	2194
238	687	2187
239	689	2182
240	691	2176
241	693	2170
242	694	2164
243	696	2158
244	699	2154
245	701	2149
246	703	2144
247	705	2138
248	707	2132
249	711	2134
250	713	2129
251	716	2125
252	718	2120
253	719	2114
254	721	2108
255	724	2105
256	726	2100
257	728	2096
258	731	2091
259	733	2086
260	736	2084
261	738	2080
262	741	2076
263	743	2072
264	746	2069
265	748	2065
266	750	2060
267	752	2055
268	754	2050
269	756	2046
270	760	2044
271	762	2040
272	764	2035
273	766	2030
274	768	2025
275	770	2020
276	772	2016
277	774	2011
278	779	2013
279	781	2008
280	783	2003
281	784	1998
282	791	2004
283	793	2000
284	795	1995
285	797	1991
286	799	1986
287	802	1984
288	805	1982
289	808	1978
290	810	1974
291	812	1969
292	814	1964
293	816	1961
294	819	1958
295	821	1953
296	823	1948
297	825	1943
298	827	1939
299	829	1936
300	832	1932
301	834	1928
302	836	1924
303	838	1919
304	840	1914
305	842	1910
306	844	1907
307	846	1902
308	848	1898
